date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2022-05-19,AR_B_140,0,6748,0,6279,0,13027,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_147,1,9705,0,9252,1,18957,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_154,1,5419,2,5180,3,10599,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_161,0,6368,0,5838,0,12206,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_168,1,3602,1,3347,2,6949,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_175,0,10757,2,10064,2,20821,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_182,3,24235,2,22682,5,46917,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_189,0,5854,3,5516,3,11370,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_196,0,9715,0,9170,0,18885,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_203,0,16265,4,15103,4,31368,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_210,3,24131,0,23260,3,47391,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_217,0,16760,0,15706,0,32466,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_224,1,33188,4,31624,5,64812,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_231,0,6919,0,6546,0,13465,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_238,0,12671,0,11849,0,24520,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_245,2,26628,4,24475,6,51103,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_252,15,97330,25,87252,40,184582,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_260,12,133716,23,118665,35,252381,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_266,0,15779,3,14760,3,30539,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_270,2,80413,6,71708,8,152121,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_274,15,189476,37,168007,52,357483,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_277,0,3943,0,3684,0,7627,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_280,1,14111,2,12459,3,26570,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_287,0,4545,1,4177,1,8722,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_294,0,6303,1,5706,1,12009,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_301,0,7841,0,7363,0,15204,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_308,0,1126,0,1119,0,2245,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_315,0,9336,1,8489,1,17825,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_322,0,5106,0,4860,0,9966,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_329,0,6879,0,6375,0,13254,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_336,0,2280,0,2132,0,4412,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_343,0,5941,0,5629,0,11570,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_351,0,4555,1,4302,1,8857,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_357,7,269472,45,235341,52,504813,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_364,1,44955,4,39351,5,84306,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_371,8,167774,30,152893,38,320667,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_385,0,7204,0,6723,0,13927,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_392,0,12042,1,11333,1,23375,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_399,0,4958,0,4626,0,9584,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_406,0,4589,0,4299,0,8888,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_408,5,83872,11,78117,16,161989,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_410,0,73277,6,68871,6,142148,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_412,11,139439,23,122047,34,261486,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_413,1,41556,1,39518,2,81074,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_420,3,39208,10,35549,13,74757,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_427,38,578365,109,518342,147,1096707,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_434,6,204034,35,191236,41,395270,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_441,30,477023,96,430194,126,907217,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_448,0,3939,0,3643,0,7582,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_455,2,8481,8,7830,10,16311,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_462,0,7067,2,6658,2,13725,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_469,0,18258,2,17280,2,35538,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_476,0,5804,1,5412,1,11216,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_483,6,15662,20,14313,26,29975,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_490,21,265784,46,240124,67,505908,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_497,2,49957,9,46239,11,96196,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_505,0,6969,4,6541,4,13510,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_511,0,4370,0,3972,0,8342,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_515,10,132921,41,120279,51,253200,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_518,1,12461,4,11236,5,23697,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_525,2,26299,1,24064,3,50363,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_532,1,22429,1,20608,2,43037,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_539,17,222843,49,197823,66,420666,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_547,0,10769,0,10058,0,20827,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_553,0,3765,0,3503,0,7268,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_560,21,200263,69,175919,90,376182,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_568,4,132440,12,125120,16,257560,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_574,0,7499,1,7063,1,14562,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_581,1,40902,6,37837,7,78739,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_588,1,21907,1,20493,2,42400,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_595,0,44684,2,41482,2,86166,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_602,0,14130,4,13104,4,27234,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_609,0,16855,1,15499,1,32354,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17,AR_B_616,0,2458,0,2294,0,4752,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_623,1,36988,1,34423,2,71411,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_630,0,1635,0,1575,0,3210,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_638,10,149227,27,134010,37,283237,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_644,0,14805,6,13426,6,28231,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_648,3,40639,12,36725,15,77364,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_651,0,6629,3,6376,3,13005,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_655,0,3836,0,3558,0,7394,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_658,15,215559,27,196757,42,412316,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_665,0,15719,0,14894,0,30613,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_672,0,6895,1,6670,1,13565,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_679,0,7200,0,6809,0,14009,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_686,1,9642,0,9140,1,18782,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_693,0,5428,1,5180,1,10608,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_700,2,8797,3,8358,5,17155,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_707,0,14141,1,13224,1,27365,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_714,1,14921,0,14102,1,29023,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_721,0,3987,0,3805,0,7792,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_728,0,10408,1,9792,1,20200,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_735,0,9317,2,8768,2,18085,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17,AR_B_742,1,3385,3,3162,4,6547,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_B_749,5,74188,9,69377,14,143565,,,,,,,,,,,,,,,,,,,,,,,,
